Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.2803E-20,0.023701,3.4516E-18,0,0,0,0.43538,0.00041233,-4.6712E-22,-1.7771E-23,0.00060281,3.3311E-20,0.00041298,0,0,0,0,0,0,package://controller_arm/meshes/base_link.STL,0.50196,1,1,1,0,0,0,0,0,0,package://controller_arm/meshes/base_link.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-5.4817E-16,-0.0094103,0.032873,0,0,0,0.02903,2.3388E-05,4.1991E-23,3.7896E-21,2.5003E-05,5.6273E-07,2.4047E-06,0,0,0,0,0,0,package://controller_arm/meshes/link1.STL,1,0.50196,1,1,0,0,0,0,0,0,package://controller_arm/meshes/link1.STL,,Part2-1,Origin_joint1,Axis_joint1,joint1,revolute,0,0,0.075,0,-0.67304,0,base_link,0,1,0,100,10,-1.57,1.57,,,,,1.57,-1.57,,0
link2,0,0.00058967,0.032873,0,0,0,0.02903,2.3388E-05,-5.294E-23,-2.594E-21,2.5003E-05,5.6273E-07,2.4047E-06,0,0,0,0,0,0,package://controller_arm/meshes/link2.STL,1,0.50196,1,1,0,0,0,0,0,0,package://controller_arm/meshes/link2.STL,,Part2-2,Origin_joint2,Axis_joint2,joint2,revolute,0,0,0.075,-3.1416,-1.331,0,link1,0,1,0,100,10,-1.57,1.57,,,,,1.57,-157,,0
effector,-0.00096419,0.00079519,-0.00067567,0,0,0,0.017764,3.8244E-06,2.1154E-07,-1.7974E-07,2.3928E-06,1.2253E-06,2.7937E-06,0,0,0,0,0,0,package://controller_arm/meshes/effector.STL,0,0,0,1,0,0,0,0,0,0,package://controller_arm/meshes/effector.STL,,Part3-1,Origin_effector_joint,,effector_joint,fixed,0,0.01,0.09225,-0.86648,0,1.5708,link2,0,0,0,,,,,,,,,,,,
